疾病通路的编号,疾病名称
hsa05010,Alzheimer disease
hsa05012,Parkinson disease
hsa05014,Amyotrophic lateral sclerosis
hsa05016,Huntington disease
hsa05017,Spinocerebellar ataxia
hsa05020,Prion disease
hsa04730,Long-term depression
hsa04720,Long-term potentiation
hsa04020,Calcium signaling pathway
hsa04724,Glutamatergic synapse
hsa04120,Ubiquitin mediated proteolysis
hsa03050,Proteasome
hsa04141,Protein processing in endoplasmic reticulum
hsa04140,Autophagy - animal
hsa04137,Mitophagy - animal
hsa04210,Apoptosis
hsa00190,Oxidative phosphorylation
hsa04726,Serotonergic synapse
hsa05022,Pathways of neurodegeneration - multiple diseases
hsa04072,Phospholipase D signaling pathway
hsa04080,Neuroactive ligand-receptor interaction
hsa04540,Gap junction
hsa04723,Retrograde endocannabinoid signaling
hsa04015,Rap1 signaling pathway
hsa04022,cGMP-PKG signaling pathway
hsa04062,Chemokine signaling pathway
hsa04071,Sphingolipid signaling pathway
hsa04261,Adrenergic signaling in cardiomyocytes
hsa04270,Vascular smooth muscle contraction
hsa04371,Apelin signaling pathway
hsa04611,Platelet activation
hsa04713,Circadian entrainment
hsa04725,Cholinergic synapse
hsa04728,Dopaminergic synapse
hsa04750,Inflammatory mediator regulation of TRP channels
hsa04911,Insulin secretion
hsa04912,GnRH signaling pathway
hsa04915,Estrogen signaling pathway
hsa04916,Melanogenesis
hsa04918,Thyroid hormone synthesis
hsa04921,Oxytocin signaling pathway
hsa04922,Glucagon signaling pathway
hsa04924,Renin secretion
hsa04925,Aldosterone synthesis and secretion
hsa04927,Cortisol synthesis and secretion
hsa04928,"Parathyroid hormone synthesis, secretion and action"
hsa04929,GnRH secretion
hsa04934,Cushing syndrome
hsa04935,"Growth hormone synthesis, secretion and action"
hsa04961,Endocrine and other factor-regulated calcium reabsorption
hsa04970,Salivary secretion
hsa04971,Gastric acid secretion
hsa04972,Pancreatic secretion
hsa05135,Yersinia infection
hsa05142,Chagas disease
hsa05143,African trypanosomiasis
hsa05146,Amoebiasis
hsa05163,Human cytomegalovirus infection
hsa05170,Human immunodeficiency virus 1 infection
hsa05200,Pathways in cancer
hsa00562,Inositol phosphate metabolism
hsa01100,Metabolic pathways
hsa04070,Phosphatidylinositol signaling system
hsa04310,Wnt signaling pathway
hsa04613,Neutrophil extracellular trap formation
hsa04621,NOD-like receptor signaling pathway
hsa04742,Taste transduction
hsa04919,Thyroid hormone signaling pathway
hsa04926,Relaxin signaling pathway
hsa04933,AGE-RAGE signaling pathway in diabetic complications
hsa04973,Carbohydrate digestion and absorption
hsa05131,Shigellosis
hsa05415,Diabetic cardiomyopathy
hsa05417,Lipid and atherosclerosis
hsa04114,Oocyte meiosis
hsa04218,Cellular senescence
hsa04380,Osteoclast differentiation
hsa04625,C-type lectin receptor signaling pathway
hsa05167,Kaposi sarcoma-associated herpesvirus infection
hsa05205,Proteoglycans in cancer
hsa04217,Necroptosis
hsa04979,Cholesterol metabolism
hsa05164,Influenza A
hsa05166,Human T-cell leukemia virus 1 infection
hsa05208,Chemical carcinogenesis - reactive oxygen species
hsa04216,Ferroptosis
hsa05161,Hepatitis B
hsa05203,Viral carcinogenesis
hsa01524,Platinum drug resistance
hsa04115,p53 signaling pathway
hsa04215,Apoptosis - multiple species
hsa04932,Non-alcoholic fatty liver disease
hsa05130,Pathogenic Escherichia coli infection
hsa05132,Salmonella infection
hsa05134,Legionellosis
hsa05145,Toxoplasmosis
hsa05152,Tuberculosis
hsa05160,Hepatitis C
hsa05162,Measles
hsa05168,Herpes simplex virus 1 infection
hsa05169,Epstein-Barr virus infection
hsa05210,Colorectal cancer
hsa05222,Small cell lung cancer
hsa05416,Viral myocarditis
hsa04151,PI3K-Akt signaling pathway
hsa04370,VEGF signaling pathway
hsa05212,Pancreatic cancer
hsa05213,Endometrial cancer
hsa05215,Prostate cancer
hsa05223,Non-small cell lung cancer
hsa04010,MAPK signaling pathway
hsa04148,Efferocytosis
hsa04623,Cytosolic DNA-sensing pathway
hsa04650,Natural killer cell mediated cytotoxicity
hsa04657,IL-17 signaling pathway
hsa04668,TNF signaling pathway
hsa04936,Alcoholic liver disease
hsa05120,Epithelial cell signaling in Helicobacter pylori infection
hsa05133,Pertussis
hsa05165,Human papillomavirus infection
hsa05206,MicroRNAs in cancer
hsa04330,Notch signaling pathway
hsa04722,Neurotrophin signaling pathway
hsa04024,cAMP signaling pathway
hsa04810,Regulation of actin cytoskeleton
hsa04260,Cardiac muscle contraction
hsa04727,GABAergic synapse
hsa04930,Type II diabetes mellitus
hsa05031,Amphetamine addiction
hsa05207,Chemical carcinogenesis - receptor activation
hsa05410,Hypertrophic cardiomyopathy
hsa05412,Arrhythmogenic right ventricular cardiomyopathy
hsa05414,Dilated cardiomyopathy
hsa04530,Tight junction
hsa04014,Ras signaling pathway
hsa05030,Cocaine addiction
hsa05033,Nicotine addiction
hsa05034,Alcoholism
hsa05322,Systemic lupus erythematosus
hsa03440,Homologous recombination
hsa04211,Longevity regulating pathway
hsa05202,Transcriptional misregulation in cancer
hsa04714,Thermogenesis
hsa05418,Fluid shear stress and atherosclerosis
hsa04012,ErbB signaling pathway
hsa04620,Toll-like receptor signaling pathway
hsa04660,T cell receptor signaling pathway
hsa04664,Fc epsilon RI signaling pathway
hsa01522,Endocrine resistance
hsa04068,FoxO signaling pathway
hsa04510,Focal adhesion
hsa04622,RIG-I-like receptor signaling pathway
hsa04658,Th1 and Th2 cell differentiation
hsa04659,Th17 cell differentiation
hsa04910,Insulin signaling pathway
hsa04914,Progesterone-mediated oocyte maturation
hsa04917,Prolactin signaling pathway
hsa04920,Adipocytokine signaling pathway
hsa04931,Insulin resistance
hsa05171,Coronavirus disease - COVID-19
hsa05231,Choline metabolism in cancer
hsa04060,Cytokine-cytokine receptor interaction
hsa04940,Type I diabetes mellitus
hsa05320,Autoimmune thyroid disease
hsa05330,Allograft rejection
hsa05332,Graft-versus-host disease
hsa01521,EGFR tyrosine kinase inhibitor resistance
hsa05214,Glioma
hsa05216,Thyroid cancer
hsa05217,Basal cell carcinoma
hsa05218,Melanoma
hsa05220,Chronic myeloid leukemia
hsa05224,Breast cancer
hsa05225,Hepatocellular carcinoma
hsa05226,Gastric cancer
hsa04144,Endocytosis
hsa04150,mTOR signaling pathway
hsa04213,Longevity regulating pathway - multiple species
hsa04360,Axon guidance
hsa04550,Signaling pathways regulating pluripotency of stem cells
hsa04630,JAK-STAT signaling pathway
hsa04662,B cell receptor signaling pathway
hsa05211,Renal cell carcinoma
hsa05219,Bladder cancer
hsa05221,Acute myeloid leukemia
hsa05230,Central carbon metabolism in cancer
hsa05235,PD-L1 expression and PD-1 checkpoint pathway in cancer
hsa04960,Aldosterone-regulated sodium reabsorption
hsa04666,Fc gamma R-mediated phagocytosis
hsa04066,HIF-1 signaling pathway
hsa04350,TGF-beta signaling pathway
hsa04520,Adherens junction
hsa05140,Leishmaniasis
hsa01523,Antifolate resistance
hsa04064,NF-kappa B signaling pathway
hsa05321,Inflammatory bowel disease
hsa04061,Viral protein interaction with cytokine and cytokine receptor
hsa04612,Antigen processing and presentation
hsa04640,Hematopoietic cell lineage
hsa05144,Malaria
hsa05310,Asthma
hsa05323,Rheumatoid arthritis
hsa04672,Intestinal immune network for IgA production
hsa00220,Arginine biosynthesis
hsa00330,Arginine and proline metabolism
hsa04146,Peroxisome
hsa00020,Citrate cycle (TCA cycle)
hsa01200,Carbon metabolism
hsa04110,Cell cycle
hsa04340,Hedgehog signaling pathway
hsa04390,Hippo signaling pathway
hsa04814,Motor proteins
hsa04145,Phagosome
hsa04614,Renin-angiotensin system
hsa04974,Protein digestion and absorption
hsa04670,Leukocyte transendothelial migration
hsa05110,Vibrio cholerae infection
hsa03010,Ribosome
hsa03320,PPAR signaling pathway
hsa03060,Protein export
hsa00350,Tyrosine metabolism
hsa00790,Folate biosynthesis
hsa00260,"Glycine, serine and threonine metabolism"
hsa00340,Histidine metabolism
hsa00360,Phenylalanine metabolism
hsa00380,Tryptophan metabolism
hsa00982,Drug metabolism - cytochrome P450
hsa04721,Synaptic vesicle cycle
hsa04152,AMPK signaling pathway
hsa04136,Autophagy - other
hsa00010,Glycolysis / Gluconeogenesis
hsa00051,Fructose and mannose metabolism
hsa00052,Galactose metabolism
hsa00500,Starch and sucrose metabolism
hsa00520,Amino sugar and nucleotide sugar metabolism
hsa00524,"Neomycin, kanamycin and gentamicin biosynthesis"
hsa01250,Biosynthesis of nucleotide sugars
hsa03015,mRNA surveillance pathway
hsa04962,Vasopressin-regulated water reabsorption
hsa03082,ATP-dependent chromatin remodeling
hsa04820,Cytoskeleton in muscle cells
hsa05100,Bacterial invasion of epithelial cells
hsa03040,Spliceosome
hsa03013,Nucleocytoplasmic transport
hsa03008,Ribosome biogenesis in eukaryotes
hsa03250,Viral life cycle - HIV-1
hsa04130,SNARE interactions in vesicular transport
hsa05032,Morphine addiction
hsa03083,Polycomb repressive complex
hsa04710,Circadian rhythm
hsa03022,Basal transcription factors
hsa04512,ECM-receptor interaction
hsa04923,Regulation of lipolysis in adipocytes
hsa03460,Fanconi anemia pathway
